ts,pos_id,token_symbol,token_mint,token_program,is_token2022,token_extensions,exit_state,exit_reason,route_name,route_order,vsol_at_trigger,vsol_at_sell,migration_age,dex_id,pool_address,simulation_ok,simulation_error,custom_error_code,tx_sent,tx_sig,confirmed,confirm_error,jupiter_price_impact_pct,fallback_used,final_status,error_class,notes
2026-06-30T00:35:46,L04377fb,Bullsack,3Nn53d4XqrnuGVGoqKY92XXNBgKaFsz82kgPEG43pump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-06-30T00:36:53,L04377fb,Bullsack,3Nn53d4XqrnuGVGoqKY92XXNBgKaFsz82kgPEG43pump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-06-30T19:13:33,Lebd90e0,BST,Bk1Q98Efe3MbkvcJ6xVbgeGoAa5WysgRSx2orFCUpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,,,,,False,,,,failed,pumpswap_no_pool,pool_err:pumpswap_no_pool
2026-06-30T19:14:40,Lebd90e0,BST,Bk1Q98Efe3MbkvcJ6xVbgeGoAa5WysgRSx2orFCUpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,,,,,False,,,,failed,pumpswap_no_pool,pool_err:pumpswap_no_pool
2026-06-30T19:15:46,Lebd90e0,BST,Bk1Q98Efe3MbkvcJ6xVbgeGoAa5WysgRSx2orFCUpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,pumpswap_bad_pool_layout,,,,False,,,,failed,pumpswap_bad_pool_layout,sim_failed:pumpswap_bad_pool_layout
2026-07-05T01:46:31,L1463e51,WLA,7YhDH6qgamcEXdZE4intFuuLxNeqZDfqj43BY5YJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,,,,,False,,,,failed,pumpswap_no_pool,pool_err:pumpswap_no_pool
2026-07-05T01:47:33,L1463e51,WLA,7YhDH6qgamcEXdZE4intFuuLxNeqZDfqj43BY5YJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,,,,,False,,,,failed,pumpswap_no_pool,pool_err:pumpswap_no_pool
2026-07-05T01:48:34,L1463e51,WLA,7YhDH6qgamcEXdZE4intFuuLxNeqZDfqj43BY5YJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,,,,,False,,,,failed,pumpswap_no_pool,pool_err:pumpswap_no_pool
2026-07-05T01:49:34,L1463e51,WLA,7YhDH6qgamcEXdZE4intFuuLxNeqZDfqj43BY5YJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,,,,,False,,,,failed,pumpswap_no_pool,pool_err:pumpswap_no_pool
2026-07-05T01:50:45,L1463e51,WLA,7YhDH6qgamcEXdZE4intFuuLxNeqZDfqj43BY5YJpump,,,,GRADUATED_PUMPSWAP,,PUMPSWAP_LOCAL,,,,,pumpfun,,False,,,,,False,,,,failed,pumpswap_no_pool,pool_err:pumpswap_no_pool
