trace_id,pos_id,pair_id,mint,symbol,live_or_paper,started_at,finished_at,duration_sec,n_events,first_event,last_event
tr_pending_1783563155,pending,tg_Cv5GgkpXvtXcsrMc_1783563155,Cv5GgkpXvtXcsrMcKCJvx46BpMjiM61mpPU1j8RbbbVL,Cv5GgkpX,unknown,2026-07-09T02:12:35.243751+00:00,2026-07-09T02:12:35.262577+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563155,pending,tg_BbbAY4xmo6wcY1LA_1783563155,BbbAY4xmo6wcY1LAN833nQVxJEhevhosrfnX8Bfej6wg,BbbAY4xm,unknown,2026-07-09T02:12:35.333926+00:00,2026-07-09T02:12:35.376179+00:00,0.04,6,trace_started,trace_finished
tr_pending_1783563155,pending,tg_Hq6dfbewnAKiLdjt_1783563155,Hq6dfbewnAKiLdjtr8x2kzPj6bDEABmtPmQSV7uUHTF4,Hq6dfbew,unknown,2026-07-09T02:12:35.603831+00:00,2026-07-09T02:12:35.813225+00:00,0.21,6,trace_started,trace_finished
tr_pending_1783563197,pending,tg_5TnJDp9ZfCXXmD7q_1783563197,5TnJDp9ZfCXXmD7qshPc7EpoqzptGVANaMYQ1k17VBea,5TnJDp9Z,unknown,2026-07-09T02:13:17.631144+00:00,2026-07-09T02:13:17.657788+00:00,0.03,6,trace_started,trace_finished
tr_pending_1783563197,pending,tg_8XPnN6Z7x9GeS9kQ_1783563197,8XPnN6Z7x9GeS9kQb4hEYr6RQsFF1Ng4YFZW9Sm24yrU,8XPnN6Z7,unknown,2026-07-09T02:13:17.688073+00:00,2026-07-09T02:13:17.737695+00:00,0.05,6,trace_started,trace_finished
tr_pending_1783563197,pending,tg_4Wv22nP8FgAG5HnK_1783563197,4Wv22nP8FgAG5HnK5cSAfX2LZXfT7Bm7aXJysWZSUDAy,4Wv22nP8,unknown,2026-07-09T02:13:17.752736+00:00,2026-07-09T02:13:17.805704+00:00,0.05,6,trace_started,trace_finished
tr_pending_1783563197,pending,tg_6rrk39a39GwKajDj_1783563197,6rrk39a39GwKajDja37KBbX8ps1TEVq437pE6HzwMw1B,6rrk39a3,unknown,2026-07-09T02:13:17.860798+00:00,2026-07-09T02:13:17.880888+00:00,0.02,6,trace_started,trace_finished
tr_pending_1783563199,pending,tg_7Cz3TgrrngGyBJHG_1783563199,7Cz3TgrrngGyBJHGjCPTYZyySqP7G3q9auG9ERBY9W6b,7Cz3Tgrr,unknown,2026-07-09T02:13:19.708944+00:00,2026-07-09T02:13:19.888824+00:00,0.18,6,trace_started,trace_finished
tr_pending_1783563199,pending,tg_8y83ZUQH8gsbYa9q_1783563199,8y83ZUQH8gsbYa9qEyYF6Wdqw3so7L9ThsWREuCVXWTr,8y83ZUQH,unknown,2026-07-09T02:13:19.973097+00:00,2026-07-09T02:13:20.131723+00:00,0.16,6,trace_started,trace_finished
tr_pending_1783563200,pending,tg_B5WUg5p3VZGgEcjx_1783563200,B5WUg5p3VZGgEcjxWbLE8Ncsp2ZbVK1dmRDVP1xRgfLv,B5WUg5p3,unknown,2026-07-09T02:13:20.377324+00:00,2026-07-09T02:13:20.434468+00:00,0.06,6,trace_started,trace_finished
