timestamp,market_id,question,yes_price,posterior,preferred_side,adjusted_edge,confidence,risk_score,risk_multiplier,volume,liquidity_depth
2026-03-26T13:04:09.404909,540881,GTA VI released before June 2026?,0.02,0.025316455696202538,buy_yes,0.0051704834253569676,0.9725433109599999,0.031456689040000055,1.0,12871778.593537977,47567.91387
2026-03-26T13:13:50.251665+00:00,531202,BitBoy convicted?,0.078,0.09720491365497597,buy_yes,0.008100276932814664,0.42178148146559846,0.5378671129008012,0.6,220242.97183199806,9598.388
2026-03-26T13:13:50.251690+00:00,540816,Russia-Ukraine Ceasefire before GTA VI?,0.54,0.6569858712715856,buy_yes,0.09546047095761381,0.8160000000000001,0.27599999999999997,1.0,1402323.0111889965,101170.5642
2026-03-26T13:13:50.251704+00:00,540817,New Rihanna Album before GTA VI?,0.6,0.7099236641221374,buy_yes,0.07886550202625954,0.7174569976,0.3625430024,0.6,674943.9575090023,34682.1247
2026-03-26T13:13:50.251713+00:00,540818,New Playboi Carti Album before GTA VI?,0.66,0.7600297176820209,buy_yes,0.07428959674726898,0.7426752616000001,0.3253247384,0.6,709197.1664419994,34834.4077
2026-03-26T13:13:50.251723+00:00,540819,Will Jesus Christ return before GTA VI?,0.49,0.6105305466237941,buy_yes,0.0969065594855305,0.804,0.294,1.0,10161266.719098113,864939.2358
2026-03-26T13:13:50.251732+00:00,540820,Trump out as President before GTA VI?,0.53,0.6478706624605679,buy_yes,0.09571097791798112,0.812,0.282,1.0,554674.3089150083,107562.5707
2026-03-26T13:13:50.251740+00:00,540843,Will China invades Taiwan before GTA VI?,0.52,0.6386687797147386,buy_yes,0.09588437400950875,0.808,0.288,1.0,1510209.039267029,133761.6312
2026-03-26T13:13:50.251748+00:00,540844,Will bitcoin hit $1m before GTA VI?,0.486,0.6067171391752577,buy_yes,0.09724972731958764,0.8056000000000001,0.29159999999999997,1.0,3766912.4645416834,472484.58877
2026-03-26T13:13:50.251758+00:00,540881,GTA VI released before June 2026?,0.02,0.025316455696202538,buy_yes,0.005211474473073424,0.9802535318400001,0.023746468160000013,1.0,12871778.593537977,48531.69148
2026-03-26T14:14:00.337518+00:00,531202,BitBoy convicted?,0.074,0.0923186597754411,buy_yes,0.007771472520182441,0.42423805100639844,0.5346361895452012,0.6,220371.20275799805,9692.6361
2026-03-26T14:14:00.337545+00:00,540816,Russia-Ukraine Ceasefire before GTA VI?,0.54,0.6569858712715856,buy_yes,0.09546047095761381,0.8160000000000001,0.27599999999999997,1.0,1402355.3711889966,101861.1922
2026-03-26T14:14:00.337561+00:00,540817,New Rihanna Album before GTA VI?,0.59,0.7013036809815951,buy_yes,0.0788693349368835,0.7085959264000001,0.3734040736,0.6,674952.8868120022,34074.4908
2026-03-26T14:14:00.337573+00:00,540818,New Playboi Carti Album before GTA VI?,0.64,0.7436281859070465,buy_yes,0.0760980630514183,0.7343375008,0.3376624992,0.6,709202.2164419994,34792.1876
2026-03-26T14:14:00.337584+00:00,540819,Will Jesus Christ return before GTA VI?,0.47,0.591314935064935,buy_yes,0.09850772727272729,0.812,0.282,1.0,10207219.278273119,896155.9805
2026-03-26T14:14:00.337594+00:00,540820,Trump out as President before GTA VI?,0.54,0.6569858712715856,buy_yes,0.09546047095761381,0.8160000000000001,0.27599999999999997,1.0,554764.8011070084,126186.3888
2026-03-26T14:14:00.337604+00:00,540843,Will China invades Taiwan before GTA VI?,0.51,0.6293789808917197,buy_yes,0.09598070063694267,0.804,0.294,1.0,1510502.2336110293,134088.3068
2026-03-26T14:14:00.337613+00:00,540844,Will bitcoin hit $1m before GTA VI?,0.483,0.6038473947410873,buy_yes,0.09749967807710924,0.8068000000000001,0.2898,1.0,3767991.3378036832,471727.31514
2026-03-26T14:14:00.337624+00:00,550694,Will Italy qualify for the 2026 FIFA World Cup?,0.64,0.7436281859070465,buy_yes,0.04625562255204326,0.44636140396719987,0.5798707574246,0.6,271160.80695899983,21679.0948
2026-03-26T14:14:00.337634+00:00,550703,Will Sweden qualify for the 2026 FIFA World Cup?,0.34,0.4156829679595279,buy_yes,0.01677281009545142,0.2216193490775999,0.7726784173918002,0.3,131488.83234699987,6553.5354
2026-03-26T14:14:00.337643+00:00,550706,Will Poland qualify for the 2026 FIFA World Cup?,0.33,0.44555749128919864,buy_yes,0.057742999937881456,0.49969066733520207,0.5614556786985985,0.6,475731.73016900255,6388.1604
2026-03-26T14:14:00.337654+00:00,550708,Will Ukraine qualify for the 2026 FIFA World Cup?,0.25,0.2978723404255319,buy_yes,0.013393402240902144,0.2797732912544004,0.7016387957591997,0.3,157060.43506800052,6765.6179
